stratum	replicates	mean_sites_per_replicate	mean_width	mean_d0	bias_exact	bias_edge	paired_shift_edge_minus_exact	paired_shift_se	rmse_exact	rmse_edge
0k-3k	100	1574	1926	1.84	-388.9	-408.9	-20	18.53	1281	1317
3k-10k	100	8548	6687	2.115	-131.9	-197.9	-66	25.33	516.6	644.2
10k-30k	100	2.356e+04	1.944e+04	2.818	71.15	341.1	270	39.1	344.4	678.1
30k-100k	100	4.152e+04	5.953e+04	4.689	315.1	3055	2740	79.1	540.4	3204
100k-300k	100	4.252e+04	1.825e+05	8.182	46.15	3010	2964	154.1	909.4	3688
300k-inf	100	2.95e+04	4.358e+05	10.13	-69.85	1436	1506	93.33	1516	2579
all	100	1.472e+05	1.603e+05	6.309	11.65	635.1	623.5	38.68	285.5	862.2
