replicate	true_T	stratum	sites	mean_width	mean_d0	mean_mutation_age	carried_fraction	map_T_exact	map_T_edge	mean_T_exact	mean_T_edge	ci95_width_exact	ci95_width_edge
1	5457.129834083312	0k-3k	2421	1851.860456162073	1.9454770755885997	3587.970230928588	0.01982651796778191	4650.0	4550.0	4603.44883790535	4544.848476271699	2970.4757863142536	2923.92758834042
1	5457.129834083312	3k-10k	9236	6487.534531236201	2.4370939800779556	7906.073934386286	0.04125162407968817	5450.0	5400.0	5400.480344703822	5394.643778981834	827.5911022620539	1061.3489993205594
1	5457.129834083312	10k-30k	16650	18765.156142626616	3.761861861861862	20155.369127980077	0.1114114114114114	5400.0	5550.0	5363.559000329442	5546.823923014044	808.2475174972142	1301.2469041365111
1	5457.129834083312	30k-100k	22648	58632.64488765193	6.69012716354645	55193.14903561602	0.2429795125397386	5850.0	7900.0	5818.788527230026	7890.17303526009	1244.5055357951214	2428.063781823572
1	5457.129834083312	100k-300k	21749	183317.18228799678	10.092234125706929	134624.57428300328	0.3747298726378224	4100.0	4800.0	4119.760796415798	4812.7147013714675	2025.160891969364	2468.973487324558
1	5457.129834083312	300k-inf	317	300000.0	1.0	156926.5480729853	0.10725552050473186	6050.0	6000.0	6687.700134132567	6969.864123936759	10833.86654744677	12330.118581024275
1	5457.129834083312	all	73021	79248.7039600496	6.315785869818272	63611.890989533764	0.21871790306898015	5400.0	5550.0	5363.081639665933	5570.709661843049	533.3825667025858	717.6359684421377
2	4613.21094924136	0k-3k	2384	1833.3329842276921	1.973993288590604	3708.9361076446035	0.024328859060402684	3600.0	3350.0	3535.6953018201557	3347.952944558911	2229.5823108205864	2204.5238659585407
2	4613.21094924136	3k-10k	9260	6467.283813725757	2.456047516198704	8108.023122580464	0.04460043196544276	4450.0	4500.0	4412.137489765255	4480.261861037115	708.9739458041763	980.6530771236485
2	4613.21094924136	10k-30k	16925	18814.28017867223	3.7041063515509602	20142.515901107916	0.11338257016248153	4200.0	4950.0	4187.286165423911	4912.428167369596	809.0096076069503	1376.976652052791
2	4613.21094924136	30k-100k	22708	58628.44077287872	6.586093006869826	55407.81482920068	0.24506781750924783	4500.0	7150.0	4434.17511387786	7176.213455809358	1021.6138809064905	2299.2295482164345
2	4613.21094924136	100k-300k	22395	183215.94863130723	9.931011386470194	134404.06458568698	0.3812011609734316	3750.0	4650.0	3759.247778553004	4698.045666807527	1827.943075549662	2284.768970760544
2	4613.21094924136	300k-inf	353	300000.0	1.0	155784.97720305942	0.11331444759206799	7500.0	7050.0	8009.041866902834	7958.450597689905	10773.217127694481	12425.906925092346
2	4613.21094924136	all	74025	80014.11967095146	6.247294832826748	64140.577668525504	0.22332995609591355	4300.0	4750.0	4289.774136158681	4722.818151783842	483.49556053756123	631.1063313728273
3	306.71710297720864	0k-3k	2567	1873.7476637027714	1.8936501753019088	3612.3955632939014	0.03856641994546163	600.0	500.0	562.728748914191	506.3684336676472	842.9740637295334	894.6518643792946
3	306.71710297720864	3k-10k	8675	6383.092442498451	2.465014409221902	8145.6555833271	0.06743515850144093	350.0	200.0	348.8033182891777	297.1454186875727	648.3981823607081	698.0025038466525
3	306.71710297720864	10k-30k	16540	18876.21846112127	3.73186215235792	20242.764723317785	0.13367593712212816	0.0	0.0	105.26051483095645	214.93366283637295	348.09949104317167	686.2428360586222
3	306.71710297720864	30k-100k	23329	58694.22651180432	6.626773543658108	55340.84816781195	0.24938917227485105	0.0	0.0	152.80528898440727	354.88057509787336	500.8492480861406	1045.0396534386132
3	306.71710297720864	100k-300k	22561	182685.1892905676	9.995833518017818	134106.49025609557	0.3866849873675812	0.0	0.0	214.03664025198867	265.6074715342677	675.2581834070072	820.558612171668
3	306.71710297720864	300k-inf	303	300000.0	1.0	135130.14481937725	0.0627062706270627	0.0	0.0	1952.5676600723698	1696.0746050442376	5905.237753635317	5297.2903580211305
3	306.71710297720864	all	73975	80488.4630809966	6.3316661034133155	64512.59908854265	0.2359716120310916	50.0	150.0	127.56620904409434	183.56960201078036	325.2382684199135	433.1817257138912
4	4574.385947143199	0k-3k	2352	1868.269652286081	1.9668367346938775	3812.6959845870597	0.020833333333333332	3850.0	4000.0	3816.223333702301	3940.5320753687447	2302.0981054843037	2451.266743146056
4	4574.385947143199	3k-10k	9168	6411.509002101359	2.4456806282722514	8084.536266898457	0.042648342059336826	4500.0	4600.0	4473.394628409322	4582.885054987733	697.2479450606406	928.2039882151139
4	4574.385947143199	10k-30k	17010	18845.705775065264	3.650970017636684	19684.599191762107	0.11246325690770136	4900.0	5450.0	4865.482197297817	5429.963319444037	810.3749351163287	1344.9661424494425
