replicate	true_T	stratum	sites	mean_width	mean_d0	mean_mutation_age	carried_fraction	map_T_exact	map_T_edge	mean_T_exact	mean_T_edge	ci95_width_exact	ci95_width_edge
1	9933.06129481694	0k-3k	3408	1535.148831578623	2.608568075117371	1911.4541710095198	0.005575117370892019	9950.0	9950.0	9667.587413457768	9959.993286265813	2287.561520447689	2866.3167913031593
1	9933.06129481694	3k-10k	4046	5961.338510065604	4.680672268907563	5991.289201371522	0.03188334157192289	10000.0	9950.0	9989.124575682305	9913.531250834454	857.2878405412157	1043.4840708032243
1	9933.06129481694	10k-30k	4107	17901.02780792226	8.017774531288044	16136.394026878157	0.18091064037009982	10100.0	10450.0	10003.892900854391	10432.84751937681	462.339017671331	1030.7890245854687
1	9933.06129481694	30k-100k	2951	43722.87872620882	10.050152490681125	30058.34725567132	0.3476787529650966	9700.0	11250.0	9655.396950428698	11236.469645539259	1301.787543650642	2927.227685656906
1	9933.06129481694	100k-300k	0										
1	9933.06129481694	300k-inf	0										
1	9933.06129481694	all	14512	15979.678828412649	6.230361080485116	12798.328620688002	0.13209757442116868	10000.0	10200.0	9980.671332622656	10213.605414582114	414.10003476228667	673.048456386834
2	1258.4278605235522	0k-3k	2977	1554.0950315516966	2.6792072556264697	1751.0763145574658	0.036614040980853205	1350.0	1350.0	1317.7516262547815	1335.8902923328035	297.7777811986848	403.0665843104125
2	1258.4278605235522	3k-10k	3786	5925.790362030341	4.937136819862652	6159.116852004482	0.14870575805599578	1300.0	1900.0	1268.3087953519089	1878.190961930297	328.46639305404165	672.3074488198092
2	1258.4278605235522	10k-30k	4236	18532.33541073916	8.51912181303116	16731.69720855917	0.30807365439093487	1600.0	2050.0	1581.4405855938066	2084.8351483533106	784.5517621781753	1275.12417777466
2	1258.4278605235522	30k-100k	3109	43485.054890846084	10.116436153103892	30020.292485204078	0.37182373753618525	1150.0	1300.0	1168.7333796472003	1322.6660574972777	1070.3347780381564	1326.7468048222524
2	1258.4278605235522	100k-300k	0										
2	1258.4278605235522	300k-inf	0										
2	1258.4278605235522	all	14108	17065.46581195831	6.677558831868444	13661.747186141387	0.22207258293166998	1350.0	1500.0	1317.0364947979003	1472.3516247718076	217.70925050774395	280.939912230192
3	4939.942018305883	0k-3k	3215	1536.670776747317	2.5636080870917572	1818.5328338771908	0.016174183514774496	4400.0	4250.0	4390.641056853687	4270.65374274078	1267.8070098507865	1235.0072317726995
3	4939.942018305883	3k-10k	3986	5958.075789341115	4.6828901154039135	5986.610804934837	0.09131961866532864	5050.0	4900.0	5003.205448277874	4894.416765372249	586.6287966394902	728.6094603488446
3	4939.942018305883	10k-30k	4166	18609.525437809138	8.601536245799329	16628.637896661345	0.27772443590974555	4750.0	5400.0	4747.431603671352	5366.242112980103	645.3856863204446	1227.862763730941
3	4939.942018305883	30k-100k	3131	43769.288965252854	10.098371127435325	30031.220764949914	0.3478122005748962	4900.0	6950.0	4844.1310772230845	7042.579917531623	1246.639585315781	3057.7505126169435
3	4939.942018305883	100k-300k	0										
3	4939.942018305883	300k-inf	0										
3	4939.942018305883	all	14498	16778.74281746971	6.508483928817768	13312.99982217787	0.18361153262518967	4850.0	4950.0	4840.331939694199	4943.470975325492	407.55764803842885	540.5938045835201
4	8012.774121912282	0k-3k	3336	1506.8261251885394	2.5227817745803356	1844.346613532251	0.008093525179856115	7600.0	7500.0	7596.544025574161	7423.683764842401	1697.622710843093	1788.1782495522002
4	8012.774121912282	3k-10k	4315	5999.2383489660615	4.612746234067208	6101.7688862556515	0.049130938586326764	7950.0	8150.0	7973.084933522351	8119.172292155419	676.710834773552	930.0265492515209
