T	log_posterior	density
3440	-45211.4	0.0014371
3460	-45211.5	0.00123088
3480	-45211.6	0.00117089
3500	-45211.4	0.00136644
3520	-45211.5	0.00120835
3540	-45211.6	0.00118439
3560	-45211.3	0.00150924
3580	-45211.5	0.00132755
3600	-45211.6	0.00111434
3620	-45211.4	0.00138423
3640	-45211.5	0.00131493
3660	-45211.8	0.00097572
3680	-45211.8	0.000945578
3700	-45211.5	0.00126649
3720	-45211.7	0.00105141
3740	-45211.8	0.00089254
3760	-45212.2	0.000640027
3780	-45212.2	0.000598114
3800	-45212.1	0.000694778
3820	-45212.1	0.000729748
3840	-45212.2	0.000656894
3860	-45212.2	0.000599119
3880	-45212.2	0.000602451
3900	-45212.3	0.000591733
3920	-45212.8	0.000352777
3940	-45212.7	0.000365658
3960	-45212.8	0.000333507
3980	-45212.8	0.000330629
4000	-45213	0.000274916
4020	-45213.2	0.000227759
4040	-45213.3	0.00021097
4060	-45213.4	0.000192547
4080	-45213.5	0.000170671
4100	-45213.7	0.000137734
4120	-45213.6	0.000150147
4140	-45214	0.00010249
4160	-45214.1	9.44379e-05
4180	-45214.3	7.87221e-05
4200	-45214.4	7.24239e-05
4220	-45214.7	5.32626e-05
4240	-45214.9	4.29552e-05
4260	-45215	3.74933e-05
4280	-45215.1	3.55346e-05
4300	-45215.4	2.49245e-05
4320	-45215.6	2.04033e-05
4340	-45215.9	1.48777e-05
4360	-45215.9	1.50649e-05
4380	-45216.2	1.14818e-05
4400	-45216.5	8.39146e-06
4420	-45216.6	7.3497e-06
4440	-45216.6	7.62683e-06
4460	-45216.9	5.56637e-06
4480	-45217.2	4.25717e-06
4500	-45217.4	3.5244e-06
4520	-45217.9	2.11485e-06
4540	-45217.8	2.4346e-06
4560	-45218.1	1.64893e-06
4580	-45218.5	1.18489e-06
4600	-45218.6	9.97814e-07
4620	-45218.7	9.41383e-07
4640	-45219	7.17442e-07
4660	-45219.6	3.70155e-07
4680	-45219.7	3.58977e-07
4700	-45220	2.58216e-07
4720	-45220.3	1.92904e-07
4740	-45220.5	1.61998e-07
4760	-45220.9	1.06783e-07
4780	-45221.2	8.01713e-08
4800	-45221.5	5.87129e-08
4820	-45221.6	4.98074e-08
4840	-45222.2	2.84879e-08
4860	-45222.1	3.08179e-08
4880	-45222.7	1.80618e-08
4900	-45223	1.33483e-08
4920	-45223.2	1.05351e-08
4940	-45223.7	6.07787e-09
4960	-45223.8	5.51868e-09
4980	-45224.3	3.59499e-09
5000	-45224.4	3.19875e-09
5020	-45224.9	1.89371e-09
5040	-45225.1	1.58e-09
5060	-45225.3	1.33476e-09
5080	-45225.9	7.22992e-10
5100	-45226.5	3.81566e-10
5120	-45226.8	2.80054e-10
5140	-45227	2.39631e-10
5160	-45227.3	1.74504e-10
5180	-45227.6	1.34226e-10
5200	-45228	8.43641e-11
5220	-45228.3	6.22357e-11
5240	-45229	3.29579e-11
5260	-45229.5	1.97573e-11
5280	-45229.5	1.84081e-11
5300	-45229.8	1.36838e-11
5320	-45230.4	7.82211e-12
5340	-45230.7	5.86269e-12
5360	-45230.9	4.80398e-12
5380	-45231.2	3.405e-12
5400	-45231.9	1.80498e-12
5420	-45232.3	1.14416e-12
5440	-45232.7	7.7061e-13
5460	-45233.2	4.78121e-13
5480	-45233.6	3.27831e-13
