replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
151	4499.460044406252	4900.0	4894.730241306827	4886.572022215849	4400.756688597238	5446.523095245755	1	direct ancient-lineage insertion conditional on modern tree	98894.0	0.0
152	3573.0639107144184	1850.0	1784.9012821076128	1792.5205723307452	1208.4411811755524	2339.5466336326713	0	direct ancient-lineage insertion conditional on modern tree	66593.0	0.0
153	1049.9976727253566	800.0	803.3057860922818	802.5230515854643	466.5459611931796	1146.733368752038	1	direct ancient-lineage insertion conditional on modern tree	35424.0	0.0
154	1492.519206361844	1500.0	1533.3244040939826	1518.1722688567404	1207.3665245530997	1962.2678130871423	1	direct ancient-lineage insertion conditional on modern tree	67255.0	0.0
155	8743.654474996194	8700.0	8793.403752213293	8747.179813565715	8117.404028142188	9751.695380899997	1	direct ancient-lineage insertion conditional on modern tree	12678.0	0.0
156	4916.341423340208	5600.0	5748.49171287772	5729.679554882079	4963.163262132667	6538.899292311122	0	direct ancient-lineage insertion conditional on modern tree	74011.0	0.0
157	5516.908950460299	4850.0	4852.951292148362	4855.762283279257	4514.085670734758	5188.494939921674	0	direct ancient-lineage insertion conditional on modern tree	31598.0	0.0
158	9086.813111447798	11200.0	10990.939127361473	11086.198984070254	8977.877311803424	12540.780632238588	1	direct ancient-lineage insertion conditional on modern tree	85485.0	0.0
159	9723.698733620491	10800.0	10819.658000303385	10814.942801589124	10264.683323425854	11406.064203661028	0	direct ancient-lineage insertion conditional on modern tree	15837.0	0.0
160	8084.690763673526	7550.0	7559.199209732985	7558.953892044695	7157.030202944393	7950.9494553513005	0	direct ancient-lineage insertion conditional on modern tree	85235.0	0.0
161	1818.9320591920637	950.0	898.8418692140738	914.7099664457857	575.4619591978831	1175.779653393013	0	direct ancient-lineage insertion conditional on modern tree	79305.0	0.0
162	9317.255144741126	8350.0	8389.256994119227	8371.803918631478	7855.716236769434	9006.87916046186	0	direct ancient-lineage insertion conditional on modern tree	51413.0	0.0
163	6369.733209152912	6900.0	6810.659624762179	6826.070549474417	6298.877629045378	7298.827278392986	1	direct ancient-lineage insertion conditional on modern tree	19910.0	0.0
164	9635.5529478527	7450.0	7479.732674249916	7483.534204034928	5904.853445917202	8616.452528276583	0	direct ancient-lineage insertion conditional on modern tree	79084.0	0.0
165	6003.036537296661	6200.0	6245.264713204687	6239.3937484075495	5935.728977114447	6575.390332331891	1	direct ancient-lineage insertion conditional on modern tree	34580.0	0.0
166	1571.029270785293	2000.0	1962.2187150393725	1958.124397066463	1244.4338058918154	2791.9065924180495	1	direct ancient-lineage insertion conditional on modern tree	65943.0	0.0
167	9562.782032030413	9650.0	9465.740049867358	9497.444555453063	8711.728543964973	10050.273884621556	1	direct ancient-lineage insertion conditional on modern tree	13296.0	0.0
168	7871.888560870865	6100.0	6009.128415416669	6024.835423620162	5265.01903474414	6655.779211471708	0	direct ancient-lineage insertion conditional on modern tree	39671.0	0.0
169	615.2052242008479	200.0	273.84483878009445	245.88010853350914	18.282059338379526	682.3000534800569	1	direct ancient-lineage insertion conditional on modern tree	41636.0	0.0
170	1520.440154405398	1600.0	1585.3385977999594	1591.1756193149522	1375.3176722060712	1764.9398882599319	1	direct ancient-lineage insertion conditional on modern tree	72551.0	0.0
171	6511.6545390181045	6600.0	6548.285471076656	6544.910898997002	6122.622265356126	7002.429994030739	1	direct ancient-lineage insertion conditional on modern tree	59878.0	0.0
172	1500.5079663519218	1950.0	1873.4865080099016	1880.0969971829784	1662.3294149945684	2047.7242558636779	0	direct ancient-lineage insertion conditional on modern tree	14912.0	0.0
173	951.4796279376482	1100.0	1110.8495109528294	1101.077220457812	782.24426173812	1533.7181773733307	1	direct ancient-lineage insertion conditional on modern tree	50086.0	0.0
174	5850.987573567379	6400.0	6381.5091527000495	6383.857282336672	5987.904696939489	6780.4981240670595	0	direct ancient-lineage insertion conditional on modern tree	59092.0	0.0
175	890.3606430091555	200.0	318.819221635192	287.61603312436	17.606806102684533	799.1429862460268	0	direct ancient-lineage insertion conditional on modern tree	80993.0	0.0
176	3617.923613095365	1450.0	1414.0494602253616	1421.1651073456271	643.4451396990879	2225.088665059536	0	direct ancient-lineage insertion conditional on modern tree	98232.0	0.0
177	9361.089640778366	9400.0	9376.577130115633	9384.309045397145	8981.544117604179	9744.203234367147	1	direct ancient-lineage insertion conditional on modern tree	37824.0	0.0
178	1779.0645177548406	2300.0	1867.3366122633902	2062.9389938022405	614.747001209235	3051.860508654548	1	direct ancient-lineage insertion conditional on modern tree	11016.0	0.0
179	4564.1863061131535	5850.0	5709.534757673376	5776.145792054478	4480.651916721693	6631.918598109109	1	direct ancient-lineage insertion conditional on modern tree	71982.0	0.0
180	2698.184062898991	3650.0	3691.1109576691433	3667.298971876297	3359.4287485763825	4083.0723055374747	0	direct ancient-lineage insertion conditional on modern tree	31788.0	0.0
181	4909.157185859007	4050.0	3631.657697513798	3718.1399010951754	2759.9064757691353	4446.225754925162	0	direct ancient-lineage insertion conditional on modern tree	16422.0	0.0
182	5696.239007412393	6450.0	6488.371320211327	6478.438637542948	6173.311201797632	6837.554949388717	0	direct ancient-lineage insertion conditional on modern tree	29927.0	0.0
183	5384.060080335246	5450.0	5467.70884663023	5467.088135545794	5140.611587176565	5798.190939435888	1	direct ancient-lineage insertion conditional on modern tree	85471.0	0.0
184	4356.984390774382	4350.0	4342.087273923732	4347.043013142665	4029.1036563650837	4635.874958937065	1	direct ancient-lineage insertion conditional on modern tree	25710.0	0.0
